price,location,id,size
NA,"
                            Hechinger Straße
                        

            72072 Tübingen Südstadt
",9712847,NA
915,"
                            Cunostraße 70
                        

            14199 Berlin 
",9712848,17
650,NA,9712849,NA
NA,NA,9712850,NA
NA,NA,9712851,NA
450,"
                            Alte Jakobstraße 75
                        

            10179 Berlin Mitte
",9712852,10
443,"
                            Wimpfener Straße 5
                        

            71642 Ludwigsburg Hoheneck
",9712853,16
NA,NA,9712854,NA
745,"
                            Tempelhofer Ufer 10
                        

            10963 Berlin Kreuzberg
",9712855,11
NA,NA,9712856,NA
500,"
                            Strackerjanstraße 17
                        

            26129 Oldenburg Wechloy
",9712857,15
485,"
                            Okrifteler Str 47
                        

            65931 Frankfurt am Main Frankfurt Sindlingen
",9712858,16
NA,NA,9712859,NA
750,NA,9712860,NA
485,"
                            Okrifteler Str 47
                        

            65931 Frankfurt am Main Frankfurt Sindlingen
",9712858,16
NA,NA,9712859,NA
750,NA,9712860,NA
450,NA,9712861,14
NA,"
                            Freiligrathstr.
                        

            26384 Wilhelmshaven Heppens
",9712862,NA
NA,NA,9712863,NA
NA,NA,9712864,NA
NA,NA,9712865,NA
350,NA,9712866,NA
NA,NA,9712867,NA
1000,NA,9712868,NA
700,"
                            Bahrenfelder Chaussee 54
                        

            22761 Hamburg Bahrenfeld
",9712869,15
NA,NA,9712870,NA
NA,"
                            Am Friedrichshain
                        

            10407 Berlin Prenzlauer Berg
",9712871,NA
NA,NA,9712872,NA
286,"
                            Dresdener Straße 25
                        

            28215 Bremen Weidedamm
",9712873,10
NA,NA,9712874,NA
300,NA,9712875,10
1165,"
                            Klara-Franke-Straße 24
                        

            10557 Berlin 
",9712876,19
505,"
                            Untere Augartenstraße
                        

            1020 Wien 02. Bezirk Leopoldstadt
",9712877,24
NA,NA,9712878,NA
1000,"
                            Rathsbergerstraße 7
                        

            91054 Erlangen Burgberg
",9712879,50
200,"
                            Ingolstadt Str 201
                        

            80939 München Milbertshofen-Am Hart
",9712880,20
NA,NA,9712881,NA
1000,"
                            Waidmanslust
                        

            13469 Berlin Waidmannslust
",9712882,75
NA,NA,9712883,NA
430,"
                            Limberger Straße 70/72
                        

            49080 Osnabrück Wüste
",9712884,23
NA,NA,9712885,NA
NA,"
                            Alexianergraben
                        

            52062 Aachen Aachen
",9712886,NA
290,"
                            Franziskanerstraße 52
                        

            45139 Essen Innenstadt
",9712887,16
200,"
                            Eisenbahnstraße 127
                        

            04315 Leipzig Volkmarsdorf
",9712888,10
NA,NA,9712889,NA
1140,"
                            Boxhagener Straße 12
                        

            10245 Berlin Friedrichshain
",9712890,19
NA,NA,9712891,NA
NA,NA,9712892,NA
990,"
                            Müllerstraße 55A
                        

            13349 Berlin 
",9712893,11
270,"
                            Max Planck strauße 4a
                        

            18059 Rostock Südstadt
",9712894,18
990,"
                            Einbecker Straße 27
                        

            10317 Berlin Friedrichsfelde
",9712895,12
NA,NA,9712896,NA
NA,NA,9712897,NA
NA,NA,9712898,NA
940,"
                            Einbecker Straße 27
                        

            10317 Berlin Friedrichsfelde
",9712899,12
NA,NA,9712900,NA
745,"
                            Karlstraße 14
                        

            40210 Düsseldorf Friedrichstadt
",9712901,22
NA,NA,9712902,NA
NA,NA,9712903,NA
900,"
                            Regerplatz 2
                        

            81541 München Obergiesing-Fasangarten
",9712904,11
NA,NA,9712905,NA
1075,"
                            Kollwitzstraße 12
                        

            10405 Berlin Prenzlauer Berg
",9712906,12
445,"
                            Karolinenstraße
                        

            96049 Bamberg Innenstadt
",9712907,15
1100,"
                            Kurfürstendamm 28
                        

            10719 Berlin 
",9712908,20
1100,"
                            Kurfürstendamm 28
                        

            10719 Berlin 
",9712908,20
300,"
                            Am Jägerpatk 55
                        

            01099 Dresden Äuere Neustadt
",9712909,31
280,"
                            In der Meile 11
                        

            44379 Dortmund Marten
",9712910,15
NA,NA,9712911,NA
1115,"
                            Archibaldweg 12
                        

            10317 Berlin Friedrichsfelde
",9712912,21
580,NA,9712913,16
727,"
                            Richard-Lehmann-Str. 57
                        

            04275 Leipzig Südvorstadt
",9712914,43
1075,"
                            Wilhelmstraße 120
                        

            13593 Berlin 
",9712915,17
NA,NA,9712916,NA
1040,"
                            Eldenaer Straße 62
                        

            10247 Berlin Friedrichshain
",9712917,15
NA,NA,9712918,NA
1000,"
                            Heußweg 10
                        

            20257 Hamburg Eimsbüttel
",9712919,25
940,"
                            Sonnenallee 147
                        

            12059 Berlin 
",9712920,14
500,NA,9712921,NA
1025,"
                            Feilnerstraße 10
                        

            10969 Berlin Kreuzberg
",9712922,15
780,"
                            Schnieglingerstr. 57
                        

            90419 Nürnberg St Johannis
",9712923,28
680,NA,9712924,NA
NA,NA,9712925,NA
NA,"
                            Ismaningerstr.
                        

            81675 München Bogenhausen
",9712926,NA
173,"
                            Augasse 2-6
                        

            1090 Wien 09. Bezirk Alsergrund
",9712927,15
1620,"
                            Weinmillerstraße / Mainburgerstraße
                        

            85356 Freising Neustift/Tuching
",9712928,53
450,NA,9712929,12
350,NA,9712930,NA
